 Tax year/D'année d'imposition             , Grand total Source of Income /Total global #,Employment/Emploi # ,Fishing and Farming/ Pêche et Agriculture #,Professional income/Professions libérales #,Sales (self-employed)/Ventes (travail indép.) #,Proprietorships/Partnerships/Entreprises indiv./Soc. de pers. #,Investment/Placement #,Pension/Pension #,Benefit/Bénéficiaire #,Others/Autre #,Province, Grand total males/Total global hommes #,Grand total females/Total global femmes #,Grand total Male & Female/Total global total #,Age group: under 20 males/Groupe d'âge : moins de 20 ans hommes #,Age group: under 20 females/Groupe d'âge : moins de 20 ans femmes #,Age group: under 20 total/Groupe d'âge : moins de 20 ans total #,Age group: 20-24 males/Groupe d'âge : 20-24 hommes #,Age group: 20-24 females/Groupe d'âge : 20-24 femmes #,Age group: 20-24 total/Groupe d'âge : 20-24 total #,Age group: 25-29 males/Groupe d'âge : 25-29 hommes #,Age group: 25-29 females/Groupe d'âge : 25-29 femmes #,Age group: 25-29 total/Groupe d'âge : 25-29 total #,Age group: 30-34 males/Groupe d'âge : 30-34 hommes #,Age group: 30-34 females/Groupe d'âge : 30-34 femmes #,Age group: 30-34 total/Groupe d'âge : 30-34 total #,Age group: 35-39 males/Groupe d'âge : 35-39 hommes #,Age group: 35-39 females/Groupe d'âge : 35-39 femmes #,Age group: 35-39 total/Groupe d'âge : 35-39 total #,Age group: 40-44 males/Groupe d'âge : 40-44 hommes #,Age group: 40-44 females/Groupe d'âge : 40-44 femmes #,Age group: 40-44 total/Groupe d'âge : 40-44 total #,Age group: 45-49 males/Groupe d'âge : 45-49 hommes #,Age group: 45-49 females/Groupe d'âge : 45-49 femmes #,Age group: 45-49 total/Groupe d'âge : 45-49 total #,Age group: 50-54 males/Groupe d'âge : 50-54 hommes #,Age group: 50-54 females/Groupe d'âge : 50-54 femmes #,Age group: 50-54 total/Groupe d'âge : 50-54 total #,Age group: 55-59 males/Groupe d'âge : 55-59 hommes #,Age group: 55-59 females/Groupe d'âge : 55-59 femmes #,Age group: 55-59 total/Groupe d'âge : 55-59 total #,Age group: 60-64 males/Groupe d'âge : 60-64 hommes #,Age group: 60-64 females/Groupe d'âge : 60-64 femmes #,Age group: 60-64 total/Groupe d'âge : 60-64 total #,Age group: 65-69 males/Groupe d'âge : 65-69 hommes #,Age group: 65-69 females/Groupe d'âge : 65-69 femmes #,Age group: 65-69 total/Groupe d'âge : 65-69 total #,Age group: 70-74 males/Groupe d'âge : 70-74 hommes #,Age group: 70-74 females/Groupe d'âge : 70-74 femmes #,Age group: 70-74 total/Groupe d'âge : 70-74 total #,Age group: 75 and over males/Groupe d'âge : 75 et plus hommes #,Age group: 75 and over females/Groupe d'âge : 75 et plus femmes #,Age group: 75 and over total/Groupe d'âge : 75 et plus total #, Grand total Income class/Total global # ,4999 and under/Moins de 4 999 #,5000 - 9999 #,10000 - 14999 #,15000 - 19999 #,20000 - 24999 #,25000 - 29999 #,30000 - 34999 #,35000 - 39999 #,40000 - 44999 #,45000 - 49999 #,50000 - 54999 #,55000 - 59999 #,60000 - 69999 #,70000 - 79999 #,80000 - 89999 #,90000 - 99999 #,100000 - 149999 #,150000 - 249999 #,250000 and over/et plus #
2011,735860,413300,5330,3320,1890,23130,23580,181250,64830,19230,NS,351700,383290,735860,14480,14940,29490,28040,28510,57000,24990,26420,51610,23930,26630,50630,25780,28210,54020,28460,30700,59170,34590,36170,70760,35910,37310,73220,33470,34760,68240,31210,32210,63420,24600,25720,50330,17590,19040,36630,28650,42670,71330,735860,65770,64560,64010,79720,62030,53640,50970,45660,39610,32040,27350,23320,37720,28760,18050,11320,21290,7160,2880
2011,31150,23760,20,110,0,820,430,2060,3300,630,NT,15970,15180,31150,1020,970,1990,1700,1700,3410,1860,1770,3630,1690,1720,3410,1450,1480,2920,1590,1450,3030,1660,1530,3200,1550,1470,3020,1230,1110,2340,950,770,1720,590,430,1020,290,310,600,410,460,870,31150,3730,2220,2080,2080,1680,1260,1200,1070,1040,960,950,860,1790,1680,1630,1530,4170,1010,230
2011,19730,14150,40,40,0,190,100,890,3940,380,NU,9930,9810,19730,730,800,1530,1380,1420,2790,1260,1370,2640,1160,1190,2350,1020,1000,2020,1050,1010,2050,930,840,1770,770,680,1450,590,530,1120,470,400,880,270,240,510,160,160,310,140,170,310,19730,3020,2180,1710,1540,1130,920,760,630,530,500,430,390,730,790,830,750,2210,620,80
2011,9948000,5797250,41440,81380,49970,524860,406990,1819800,892890,333420,ON,4757820,5171590,9948000,208920,210600,422010,405010,404200,816360,389910,412310,804930,370220,411510,783480,385900,424490,811570,422420,452950,876310,483670,503740,988070,468790,484470,953690,405740,426290,832340,355210,376890,732380,279760,298610,578600,207970,232650,440780,374300,532890,907480,9948000,1114750,756370,920340,925840,700220,568720,553060,534400,507660,437130,376840,328280,540070,413750,321140,251900,444560,163760,89230
2011,112250,64540,2900,350,200,3630,3000,24480,11130,2030,PE,53660,58540,112250,3020,2910,5930,4350,4550,8900,3700,3850,7560,3540,4040,7590,3890,4270,8170,4400,4700,9110,5210,5500,10720,5230,5530,10770,5010,5300,10310,4760,4960,9720,3670,3760,7430,2600,2760,5370,4280,6400,10690,112250,8330,8130,10490,12950,10870,9650,8940,7780,6730,5160,4330,3340,5280,3520,2070,1230,2360,740,340
2011,6324130,3613540,23960,57200,20820,242230,231230,1350240,604870,180050,QC,3067110,3254080,6324130,144770,143540,288580,231690,232970,465720,233500,238900,473060,258320,264470,523130,246430,248550,495180,250650,250600,501380,296860,297750,594680,310540,314060,624660,281090,285840,566960,245190,254040,499270,199410,211160,410600,139420,156560,296000,229240,355640,584920,6324130,543620,516330,662490,682110,504510,435340,429560,402520,354510,288810,245890,201970,310800,228790,139930,95030,181750,64960,35210
2011,797600,463570,38100,3000,2150,33340,35330,138670,60660,22790,SK,391090,406210,797600,19610,18890,38510,37190,36250,73550,36900,36460,73420,33470,33310,66810,30230,30800,61060,29570,29890,59480,34420,35090,69510,37090,37030,74120,34330,33820,68150,27920,27650,55570,20840,21330,42170,16030,17470,33510,33500,48230,81730,797600,84200,49210,63030,76170,56350,48930,47530,44530,44900,37010,31900,27520,44810,36210,26790,19220,41580,12580,5150
2011,26450,18520,30,150,20,1620,790,2770,2060,490,YT,13270,13180,26450,600,610,1210,1150,1070,2220,1240,1310,2550,1180,1210,2390,1100,1240,2340,1130,1230,2360,1270,1370,2630,1460,1470,2930,1340,1250,2590,1070,960,2020,780,610,1390,460,320,780,500,540,1040,26450,1580,1320,1650,2110,1800,1620,1490,1380,1360,1250,1160,1190,2140,1780,1400,1030,1660,450,110
2012,2879990,1924720,44930,11250,8960,107590,175380,355110,187160,64890,AB,1437990,1440980,2879990,68200,64410,132680,131230,127430,258890,151060,147040,298280,146440,144980,291590,133870,129950,263980,128970,124910,253960,129080,126430,255560,135190,132810,268030,120780,116380,237170,91990,90750,182750,69300,70940,140260,48080,51510,99590,83810,113430,197250,2879990,260110,152750,177890,216750,201680,160420,148170,142300,141600,125890,115010,102940,179860,143620,117250,101400,234510,108840,49010
2012,3524640,1999430,11890,23710,18780,201230,240350,657780,273770,97690,BC,1698340,1819400,3524640,64710,62880,128680,134520,134380,272750,141330,146640,288760,135160,144930,280380,127230,139150,266630,141110,153720,295100,153270,163020,316420,164380,172820,337280,155060,163200,318300,139110,144400,283560,114650,118430,233110,82310,86320,168640,145500,189510,335030,3524640,400820,235990,343640,329480,262980,211720,198940,192180,182800,153780,132780,116050,192220,145450,111420,75170,157060,56190,25970
